iter	Passed	Remaining
0	161	160996
1	164	82151
2	168	56135
3	171	42805
4	176	35094
5	179	29780
6	182	25908
7	185	22983
8	188	20762
9	191	18951
10	194	17461
11	196	16212
12	199	15184
13	203	14330
14	206	13585
15	209	12889
16	212	12274
17	215	11768
18	218	11295
19	221	10855
20	224	10453
21	227	10097
22	230	9786
23	233	9486
24	235	9203
25	238	8939
26	241	8709
27	244	8492
28	248	8303
29	250	8091
30	252	7882
31	254	7696
32	256	7512
33	258	7332
34	259	7159
35	261	6998
36	262	6842
37	264	6691
38	265	6541
39	266	6398
40	267	6261
41	268	6133
42	270	6009
43	271	5895
44	272	5780
45	273	5668
46	274	5562
47	275	5459
48	276	5362
49	277	5268
50	278	5177
51	279	5087
52	279	5001
53	280	4917
54	281	4837
55	282	4759
56	283	4684
57	284	4613
58	284	4544
59	285	4478
60	286	4413
61	287	4349
62	288	4287
63	289	4228
64	289	4170
65	290	4115
66	291	4061
67	292	4009
68	293	3958
69	294	3909
70	295	3861
71	295	3814
72	296	3769
73	297	3725
74	298	3683
75	299	3642
76	300	3601
77	301	3561
78	302	3522
79	302	3484
80	303	3447
81	304	3410
82	305	3371
83	306	3336
84	306	3303
85	307	3270
86	308	3238
87	309	3207
88	310	3176
89	311	3146
90	312	3118
91	313	3090
92	314	3063
93	315	3037
94	316	3012
95	317	2985
96	317	2959
97	318	2933
98	319	2908
99	320	2884
100	321	2859
101	322	2836
102	323	2812
103	323	2789
104	324	2767
105	325	2747
106	326	2726
107	327	2704
108	328	2683
109	329	2664
110	330	2645
111	331	2625
112	332	2606
113	332	2587
114	333	2568
115	334	2549
116	335	2530
117	336	2512
118	336	2494
119	337	2477
120	338	2460
121	339	2442
122	340	2427
123	341	2412
124	342	2397
125	343	2381
126	344	2366
127	345	2352
128	346	2337
129	347	2324
130	348	2310
131	349	2296
132	350	2281
133	350	2267
134	351	2253
135	352	2240
136	353	2226
137	354	2213
138	355	2200
139	356	2187
140	356	2174
141	357	2160
142	358	2147
143	359	2137
144	360	2125
145	361	2113
146	362	2101
147	362	2089
148	363	2077
149	364	2066
150	365	2055
151	366	2044
152	367	2033
153	368	2022
